Depth;Name;Statistic;#Cells
> > > > > > ;Fenotipagem_PBMC_047.fcs/Lymphocytes/Single Cells/Live cells/B cells/Plasm /unsw PLASM;11,4;53
> > > > > > > ;Fenotipagem_PBMC_047.fcs/Lymphocytes/Single Cells/Live cells/B cells/Plasm /unsw PLASM/Unsw plasm s+;1,89;1
;Fenotipagem_PBMC_048.fcs;;1951236
> ;Fenotipagem_PBMC_048.fcs/Lymphocytes;46,5;908285
> > ;Fenotipagem_PBMC_048.fcs/Lymphocytes/Single Cells;94,7;859979
> > > ;Fenotipagem_PBMC_048.fcs/Lymphocytes/Single Cells/Live cells;92,6;796637
> > > > ;Fenotipagem_PBMC_048.fcs/Lymphocytes/Single Cells/Live cells/B cells;2,47;19716
> > > > > ;Fenotipagem_PBMC_048.fcs/Lymphocytes/Single Cells/Live cells/B cells/B cell sw;51,4;10142
> > > > > ;Fenotipagem_PBMC_048.fcs/Lymphocytes/Single Cells/Live cells/B cells/MBC;36,5;7202
> > > > > > ;Fenotipagem_PBMC_048.fcs/Lymphocytes/Single Cells/Live cells/B cells/MBC/SW MBC;76,9;5537
> > > > > > > ;Fenotipagem_PBMC_048.fcs/Lymphocytes/Single Cells/Live cells/B cells/MBC/SW MBC/IgA;36,3;2010
> > > > > > > ;Fenotipagem_PBMC_048.fcs/Lymphocytes/Single Cells/Live cells/B cells/MBC/SW MBC/IgG;52,1;2886
> > > > > > > ;Fenotipagem_PBMC_048.fcs/Lymphocytes/Single Cells/Live cells/B cells/MBC/SW MBC/IgM;10,3;569
> > > > > > > ;Fenotipagem_PBMC_048.fcs/Lymphocytes/Single Cells/Live cells/B cells/MBC/SW MBC/SW MBS S+;0,74;41
> > > > > > > > ;Fenotipagem_PBMC_048.fcs/Lymphocytes/Single Cells/Live cells/B cells/MBC/SW MBC/SW MBS S+/MBC S+ IgA;19,5;8
> > > > > > > > ;Fenotipagem_PBMC_048.fcs/Lymphocytes/Single Cells/Live cells/B cells/MBC/SW MBC/SW MBS S+/MBC S+ IgG;73,2;30
> > > > > > > > ;Fenotipagem_PBMC_048.fcs/Lymphocytes/Single Cells/Live cells/B cells/MBC/SW MBC/SW MBS S+/MBC S+ IgM;4,88;2
> > > > > > ;Fenotipagem_PBMC_048.fcs/Lymphocytes/Single Cells/Live cells/B cells/MBC/unsw MBC;22,3;1604
> > > > > > > ;Fenotipagem_PBMC_048.fcs/Lymphocytes/Single Cells/Live cells/B cells/MBC/unsw MBC/unsw MBC S+;0,94;15
> > > > > ;Fenotipagem_PBMC_048.fcs/Lymphocytes/Single Cells/Live cells/B cells/Plasm ;15,2;3001
> > > > > > ;Fenotipagem_PBMC_048.fcs/Lymphocytes/Single Cells/Live cells/B cells/Plasm /SW PLASM;99,3;2981
> > > > > > > ;Fenotipagem_PBMC_048.fcs/Lymphocytes/Single Cells/Live cells/B cells/Plasm /SW PLASM/iga;45;1342
> > > > > > > ;Fenotipagem_PBMC_048.fcs/Lymphocytes/Single Cells/Live cells/B cells/Plasm /SW PLASM/igg;52,1;1552
> > > > > > > ;Fenotipagem_PBMC_048.fcs/Lymphocytes/Single Cells/Live cells/B cells/Plasm /SW PLASM/igM;1,88;56
> > > > > > > ;Fenotipagem_PBMC_048.fcs/Lymphocytes/Single Cells/Live cells/B cells/Plasm /SW PLASM/SW Plasm S+;0,23;7
> > > > > > ;Fenotipagem_PBMC_048.fcs/Lymphocytes/Single Cells/Live cells/B cells/Plasm /unsw PLASM;0,63;19
> > > > > > > ;Fenotipagem_PBMC_048.fcs/Lymphocytes/Single Cells/Live cells/B cells/Plasm /unsw PLASM/Unsw plasm s+;10,5;2
;Fenotipagem_SWAB_046.fcs;;26659
